,index,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,GradeAvg,result
364,364,1,1,1,1,1,1,2,5,4,1,,2,2,0,1,1,1,1,1,0,0,1,3,2,2,1,2,3,0,12,11,12,11.666666666666666,1
365,365,0,1,1,1,1,1,3,0,5,1,,2,2,0,1,0,0,1,0,0,0,1,3,3,4,2,4,3,0,10,10,10,10.0,1
366,366,0,1,0,0,1,4,4,3,4,3,,2,3,0,1,1,0,1,0,0,1,0,4,2,2,2,2,5,0,13,13,13,13.0,1
367,367,1,1,1,1,1,1,1,5,4,0,,3,1,1,1,0,0,1,0,0,1,0,5,2,1,1,2,1,0,7,6,0,4.333333333333333,0
368,368,1,1,0,1,1,2,3,0,4,1,,2,1,0,1,0,0,1,0,0,1,0,5,2,3,1,2,4,0,11,10,10,10.333333333333334,1
369,369,1,1,1,1,1,4,4,5,3,3,,3,2,0,1,0,0,1,1,0,1,0,3,2,2,4,2,5,0,14,12,11,12.333333333333334,1
370,370,1,2,0,0,1,3,2,4,4,2,,2,2,2,1,1,1,0,0,0,0,0,3,2,2,1,1,3,0,7,7,9,7.666666666666667,0
371,371,0,1,1,0,1,1,2,0,4,3,,3,1,0,1,0,0,0,0,1,1,0,4,3,3,2,3,3,0,14,12,12,12.666666666666666,1
372,372,1,1,0,1,1,2,2,5,0,2,,1,3,0,1,1,1,0,0,0,0,0,3,4,3,1,1,3,0,13,11,11,11.666666666666666,1
373,373,1,1,1,1,1,1,2,5,5,1,,1,1,0,1,1,1,0,0,0,1,1,3,5,5,1,3,1,1,6,5,5,5.333333333333333,0
374,374,1,1,1,0,1,4,4,5,5,0,,2,3,0,1,1,1,1,0,0,1,1,5,4,4,1,1,1,0,19,18,19,18.666666666666668,1
375,375,1,1,1,1,1,1,1,5,5,2,,4,3,0,1,1,1,1,0,0,1,1,4,3,2,1,2,4,0,8,8,10,8.666666666666666,1
376,376,1,2,0,1,1,4,2,1,5,1,,2,3,2,1,0,0,1,1,0,1,0,5,4,3,1,1,3,0,15,14,15,14.666666666666666,1
377,377,1,1,1,0,1,4,4,3,4,1,,1,2,0,1,1,0,0,0,0,1,1,5,4,3,3,4,2,0,8,9,10,9.0,1
378,378,1,1,0,1,1,3,3,5,5,2,,1,2,0,1,1,0,1,0,0,1,0,4,1,3,1,2,1,0,15,15,15,15.0,1
379,379,1,1,1,1,1,3,1,0,5,0,,1,2,0,1,0,0,0,1,0,1,1,4,5,4,2,3,1,1,10,10,10,10.0,1
380,380,0,1,0,1,1,4,4,3,3,2,,1,2,0,1,1,0,0,1,0,1,1,3,2,4,1,4,2,0,15,14,14,14.333333333333334,1
381,381,0,1,1,1,1,2,1,5,5,3,,2,1,0,1,1,1,0,1,0,1,0,4,4,3,1,3,5,0,7,6,7,6.666666666666667,0
382,382,0,1,0,1,1,2,3,5,4,2,,2,2,0,1,1,1,0,0,0,1,1,4,4,3,1,1,3,0,11,11,10,10.666666666666666,1
383,383,0,2,1,1,1,1,1,5,4,3,,2,1,1,1,1,1,1,0,0,0,1,4,3,2,1,3,5,0,6,5,0,3.6666666666666665,0
384,384,0,1,1,1,1,4,2,5,5,2,,2,1,1,1,1,0,1,0,0,0,1,5,4,3,4,3,3,1,6,5,5,5.333333333333333,0
385,385,1,1,1,1,1,2,2,0,5,3,,2,3,0,1,1,0,1,0,0,0,1,5,3,3,1,3,4,0,10,9,10,9.666666666666666,1
386,386,1,1,1,1,1,4,4,3,0,0,,3,1,0,1,0,0,0,0,0,1,0,4,4,3,2,2,5,0,6,5,6,5.666666666666667,0
387,387,1,2,1,1,1,2,3,4,5,1,,1,3,1,1,1,1,0,1,0,1,1,5,4,2,1,2,5,0,7,5,0,4.0,0
388,388,1,1,0,0,1,3,1,3,4,1,,1,2,0,1,0,0,1,0,0,1,1,4,3,4,1,1,1,0,7,9,8,8.0,1
389,389,1,1,0,1,1,1,1,5,5,1,,2,2,1,1,1,1,0,0,0,0,1,1,1,1,1,1,5,0,6,5,0,3.6666666666666665,0
390,390,0,2,0,0,0,2,2,4,4,1,,1,2,2,1,0,0,1,0,0,0,1,5,5,4,4,5,4,1,9,9,9,9.0,1
391,391,0,1,0,0,1,3,1,4,4,1,,2,1,0,1,1,1,1,1,0,1,1,2,4,5,3,4,2,0,14,16,16,15.333333333333334,1
392,392,0,2,1,1,1,1,1,5,5,1,,1,1,3,1,1,1,1,1,0,0,1,5,5,3,3,3,3,0,10,8,7,8.333333333333334,1
393,393,0,1,1,0,1,3,2,4,5,1,,3,1,0,1,1,1,1,1,0,1,1,4,4,1,3,4,5,0,11,12,10,11.0,1
394,394,0,2,0,0,1,1,1,5,0,1,,1,1,0,1,1,1,1,0,0,1,1,3,2,3,3,3,5,0,8,9,9,8.666666666666666,1
